Episode 0, Reward: -43479.72, Epsilon: 1.00, Mean wait: 6.89, Emissions: 3.47
Episode 1, Reward: -45157.36, Epsilon: 0.99, Mean wait: 6.80, Emissions: 3.75
Episode 2, Reward: -48469.42, Epsilon: 0.99, Mean wait: 6.55, Emissions: 3.82
Episode 3, Reward: -50231.02, Epsilon: 0.99, Mean wait: 9.20, Emissions: 3.74
Episode 4, Reward: -41037.47, Epsilon: 0.98, Mean wait: 5.97, Emissions: 3.42
Episode 5, Reward: -51408.96, Epsilon: 0.98, Mean wait: 6.61, Emissions: 4.18
Episode 6, Reward: -41370.32, Epsilon: 0.97, Mean wait: 8.25, Emissions: 3.31
Episode 7, Reward: -38954.43, Epsilon: 0.97, Mean wait: 6.20, Emissions: 3.24
Episode 8, Reward: -41496.51, Epsilon: 0.96, Mean wait: 4.89, Emissions: 3.42
Episode 9, Reward: -46389.72, Epsilon: 0.96, Mean wait: 6.75, Emissions: 3.91
Episode 10, Reward: -47413.34, Epsilon: 0.95, Mean wait: 6.85, Emissions: 3.92
Episode 11, Reward: -41948.51, Epsilon: 0.95, Mean wait: 5.49, Emissions: 3.59
Episode 12, Reward: -47693.55, Epsilon: 0.94, Mean wait: 8.45, Emissions: 3.83
Episode 13, Reward: -42280.91, Epsilon: 0.94, Mean wait: 6.45, Emissions: 3.40
Episode 14, Reward: -41785.31, Epsilon: 0.93, Mean wait: 5.53, Emissions: 3.56
Episode 15, Reward: -44833.88, Epsilon: 0.93, Mean wait: 10.04, Emissions: 3.39
Episode 16, Reward: -40461.12, Epsilon: 0.92, Mean wait: 7.55, Emissions: 3.20
Episode 17, Reward: -48723.17, Epsilon: 0.92, Mean wait: 6.90, Emissions: 3.76
Episode 18, Reward: -48602.31, Epsilon: 0.91, Mean wait: 7.31, Emissions: 4.02
Episode 19, Reward: -56820.11, Epsilon: 0.91, Mean wait: 11.20, Emissions: 3.95
Episode 20, Reward: -41768.59, Epsilon: 0.90, Mean wait: 5.12, Emissions: 3.44
Episode 21, Reward: -41277.86, Epsilon: 0.90, Mean wait: 6.28, Emissions: 3.36
Episode 22, Reward: -37903.81, Epsilon: 0.90, Mean wait: 4.25, Emissions: 3.41
Episode 23, Reward: -39756.55, Epsilon: 0.89, Mean wait: 3.18, Emissions: 3.91
Episode 24, Reward: -38696.83, Epsilon: 0.89, Mean wait: 5.01, Emissions: 3.49
Episode 25, Reward: -38938.75, Epsilon: 0.88, Mean wait: 2.92, Emissions: 3.70
Episode 26, Reward: -47777.73, Epsilon: 0.88, Mean wait: 6.80, Emissions: 3.79
Episode 27, Reward: -42262.33, Epsilon: 0.87, Mean wait: 5.20, Emissions: 3.78
Episode 28, Reward: -40087.48, Epsilon: 0.87, Mean wait: 6.10, Emissions: 3.28
Episode 29, Reward: -43099.59, Epsilon: 0.86, Mean wait: 6.54, Emissions: 3.59
Episode 30, Reward: -39906.03, Epsilon: 0.86, Mean wait: 7.20, Emissions: 3.22
Episode 31, Reward: -45242.62, Epsilon: 0.86, Mean wait: 6.79, Emissions: 3.56
Episode 32, Reward: -37610.28, Epsilon: 0.85, Mean wait: 7.64, Emissions: 3.18
